Feature Name,Description,,,,,,,,,,,,,,,,,,,,
State,"State where the sales occurred (for our dataset weâ€™re focused on California, but theoretically multiple markets could be included)",,,,,,,,,,,,,,,,,,,,
Channel,Options between legal (licensed) and grey market. For this analysis data limited to legal (Licensed) venues,,,,,,,,,,,,,,,,,,,,
Category L1,"Highest-level category for product. Options include: All accessories, Ingestibles, Inhaleables, Other Cannabis, Topicals",,,,,,,,,,,,,,,,,,,,
Category L2,Next layer of categorization. Multiple product category options,,,,,,,,,,,,,,,,,,,,
Category L3,Further detail on product-type,,,,,,,,,,,,,,,,,,,,
Category L4,Further detail on product-type,,,,,,,,,,,,,,,,,,,,
Category L5,Further detail on product-type,,,,,,,,,,,,,,,,,,,,
Brand,Product brand (multiple brands represented),,,,,,,,,,,,,,,,,,,,
Product Description,Plain text description of the product. Often a concatenated string of previous column values,,,,,,,,,,,,,,,,,,,,
Total Sales ($),Cumulative total sales in dollars,,,,,,,,,,,,,,,,,,,,
Total Units,Cumulative total sold units,,,,,,,,,,,,,,,,,,,,
ARP,Average retail price across all sales,,,,,,,,,,,,,,,,,,,,
Flavor,Details (if available) on whether or not the product is flavored and what the associated flavor is,,,,,,,,,,,,,,,,,,,,
Items Per Pack,"If product comes in multiple items per-pack, this provides details on the number of items",,,,,,,,,,,,,,,,,,,,
Item Weight,"If product is sold by weight, detail on weight",,,,,,,,,,,,,,,,,,,,
Total THC,"If product includes THC, details on Dosage in mg",,,,,,,,,,,,,,,,,,,,
Total CBD,"If product includes CBD, details on Dosage in mg",,,,,,,,,,,,,,,,,,,,
Contains CBD,Categorical to indicate whether the product includes CBD,,,,,,,,,,,,,,,,,,,,
Pax Filter,Categorical to indicate the presence of a pax filter or not,,,,,,,,,,,,,,,,,,,,
Strain,If product contains a particular strain of Cannabis it is detailed here,,,,,,,,,,,,,,,,,,,,
Is Flavored,Categorical indicator of if the product is flavored,,,,,,,,,,,,,,,,,,,,
Mood Effect,Categorical to indicate if it is mood specific or not,,,,,,,,,,,,,,,,,,,,
Generic Vendor,Categorical to indicate if the product is sold through generic vendors,,,,,,,,,,,,,,,,,,,,
Generic Items,Categorical to indicate if the product is sold as a generic item,,,,,,,,,,,,,,,,,,,,
$5 Price Increment,Binning of retail price by $5 increments,,,,,,,,,,,,,,,,,,,,